concepts	avg_feat_overlap_541	norm fam	KF	ln(KF)	Length_Letters	epis_t	Length_Syllables	set
rhubarb	0.05	3.95	1	0	7	3.020745845	2	5
projector	0.003	6.6	1	0	9	-0.356046977	3	5
train	0.025	6.05	98	4.584967479	5	-0.49770735	1	5
shawl	0.025	3.3	5	1.609437912	5	3.496716962	1	5
perch	0.061	4	1	0	5	1.178910314	1	5
chandelier	0.01	6.5	4	1.386294361	10	1.546481528	3	5
fence	0.053	8.15	46	3.828641396	5	0.456346851	1	5
tie	0.022	6.9	38	3.63758616	3	2.426285399	1	5
gate	0.061	7.1	52	3.951243719	4	1.103420165	1	5
slippers	0.016	6.75	10	2.302585093	8	0.210435167	2	5
strainer	0.053	6.7	1	0	8	6.554172529	2	5
cottage	0.053	6.35	25	3.218875825	7	0.74662667	2	5
horse	0.061	6.3	185	5.220355825	5	3.213809447	1	5
parka	0.021	4.6	1	0	5	1.912259081	2	5
ashtray	0.02	5.6	1	0	7	0.782887243	2	5
shack	0.061	3.55	2	0.693147181	5	1.612210993	1	5
chapel	0.004	5.25	22	3.091042453	6	2.415676801	2	5
bridge	0.052	7.1	124	4.820281566	6	1.375637466	1	5
thimble	0.05	3.85	1	0	7	4.493585756	2	6
saddle	0.014	3.75	27	3.295836866	6	2.221698959	2	6
bungalow	0.026	4.3	1	0	8	0.526637511	3	6
mat	0.014	6.85	7	1.945910149	3	4.450456745	1	6
biscuit	0.052	7.4	7	1.945910149	7	2.436164685	2	6
beehive	0.008	5.1	1	0	7	0.112350407	2	6
tongs	0.063	6.15	2	0.693147181	5	1.450565393	1	6
bluejay	0.061	5.1	1	0	7	2.425854594	2	6
chain	0.051	7.05	60	4.094344562	5	0.47713585	1	6
trousers	0.022	6.8	10	2.302585093	8	2.064168282	2	6
nightingale	0.053	1.8	5	1.609437912	11	0.591750902	3	6
stick	0.052	7.55	61	4.110873864	5	1.316876023	1	6
brick	0.02	7.4	24	3.17805383	5	1.349468439	1	6
pigeon	0.061	5.8	4	1.386294361	6	1.140231948	2	6
door	0.059	8.95	348	5.85220248	4	2.481455014	1	6
banana	0.051	8.1	5	1.609437912	6	0.863295233	3	6
mittens	0.014	6.45	2	0.693147181	7	3.357304568	2	6
birch	0.02	5.5	3	1.098612289	5	3.102406735	1	6
asparagus	0.058	5.85	1	0	9	2.936139426	4	7
cedar	0.016	5.5	1	0	5	3.708720052	2	7
blueberry	0.059	6.05	2	0.693147181	9	1.03951126	3	7
skunk	0.061	5.5	1	0	5	2.082466766	1	7
carpet	0.015	8.75	17	2.833213344	6	1.102909725	2	7
sandpaper	0.006	5.75	1	0	9	2.62384537	3	7
church	0.011	6.1	144	4.9698133	6	2.42036881	1	7
marble	0.052	6.2	24	3.17805383	6	0.847063384	2	7
rice	0.059	7.5	33	3.496507561	4	1.806443386	1	7
apron	0.02	4.75	8	2.079441542	5	3.708206539	2	7
camisole	0.021	4.2	1	0	8	0.029010607	3	7
airplane	0.055	6.55	21	3.044522438	8	1.778073742	2	7
taxi	0.019	7.35	19	2.944438979	4	1.389064099	2	7
veil	0.015	3.7	11	2.397895273	4	-2.061304283	1	7
bolts	0.05	4.9	11	2.397895273	5	0.280499223	1	7
corkscrew	0.052	5.6	3	1.098612289	9	3.758683188	2	7
cigarette	0.017	5.2	37	3.610917913	9	-0.058666828	3	7
stereo	0.01	8.95	12	2.48490665	6	0.601844718	3	7
hamster	0.06	6.1	1	0	7	0.491127554	2	8
crow	0.063	5	3	1.098612289	4	2.468407682	1	8
cork	0.025	5.7	10	2.302585093	4	2.287635077	1	8
cage	0.053	5.65	11	2.397895273	4	0.251501962	1	8
trailer	0.021	6.15	23	3.135494216	7	1.575553396	2	8
whistle	0.061	6.4	4	1.386294361	7	0.406970804	2	8
deer	0.056	5.4	13	2.564949357	4	1.880594462	1	8
kite	0.02	5.2	1	0	4	2.066774652	1	8
peas	0.066	6.95	24	3.17805383	4	3.349736211	1	8
bouquet	0.005	6.05	5	1.609437912	7	5.181829116	2	8
pyramid	0.024	2.7	3	1.098612289	7	2.411688883	3	8
rabbit	0.053	6.05	16	2.772588722	6	0.643390641	2	8
jeans	0.016	8.65	24	3.17805383	5	3.614433238	1	8
saucer	0.018	6.05	2	0.693147181	6	1.046682223	2	8
woodpecker	0.054	4.1	1	0	10	1.106369421	3	8
turkey	0.052	5.5	10	2.302585093	6	2.321304224	2	8
jet	0.052	4.5	33	3.496507561	3	3.198831053	1	8
bayonet	0.028	1.75	9	2.197224577	7	2.129901949	3	8
sparrow	0.078	4.35	1	0	7	1.200003216	2	9
barrel	0.068	5.05	32	3.465735903	6	0.352388032	2	9
housefly	0.055	6.85	1	0	8	0.55856537	2	9
cigar	0.024	4.6	12	2.48490665	5	1.624695067	2	9
pine	0.019	4.85	16	2.772588722	4	0.221302043	1	9
umbrella	0.051	7.35	11	2.397895273	8	-0.202995173	3	9
earmuffs	0.021	5.25	1	0	8	0.46062079	2	9
bra	0.021	7.45	1	0	3	2.787173604	1	9
coin	0.066	8.85	19	2.944438979	4	0.678639137	1	9
helmet	0.017	6.2	3	1.098612289	6	2.464246933	2	9
machete	0.057	2	1	0	7	1.212708663	3	9
rake	0.06	5.8	11	2.397895273	4	0.951978459	1	9
level	0.021	4.95	282	5.641907071	5	2.552086459	2	9
ambulance	0.028	6.45	7	1.945910149	9	1.222891319	3	9
buckle	0.057	7.65	7	1.945910149	6	1.314853282	2	9
shrimp	0.076	5.8	2	0.693147181	6	1.634434797	1	9
donkey	0.055	4.45	1	0	6	1.354700216	2	9
bomb	0.018	3.05	71	4.262679877	4	1.660572994	1	9
budgie	0.055	4.4	1	0	6	1.400596964	2	10
turtle	0.056	5.7	9	2.197224577	6	1.876621885	2	10
goose	0.073	4.9	7	1.945910149	5	0.58416264	1	10
oven	0.027	7.5	8	2.079441542	4	3.173214846	2	10
microscope	0.018	5.7	9	2.197224577	10	0.413920474	3	10
football	0.017	6.1	37	3.610917913	8	1.476122012	2	10
accordion	0.021	2.9	1	0	9	1.672182886	4	10
toad	0.052	4.65	4	1.386294361	4	2.140339878	1	10
rope	0.021	6.9	19	2.944438979	4	1.173394746	1	10
canoe	0.027	6.1	9	2.197224577	5	0.673552757	2	10
grape	0.05	7.1	10	2.302585093	5	-0.055492651	1	10
pan	0.053	6.7	19	2.944438979	3	3.249822718	1	10
shell	0.016	6.2	36	3.583518938	5	3.140284988	1	10
dandelion	0.011	6.4	1	0	9	0.824532579	4	10
sheep	0.052	4.25	23	3.135494216	5	1.467379351	1	10
tomato	0.056	7.75	7	1.945910149	6	4.506836088	3	10
tomahawk	0.026	2.1	1	0	8	2.103389969	3	10
leotards	0.018	6.05	1	0	8	2.94541977	3	10
